MySQL connected successfully.
Server running on port 4000
[2026-05-25T20:29:49.341Z] GET /api/leads/contact-leads
[2026-05-25T20:29:49.342Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:49.343Z] GET /api/auth/me
[2026-05-25T20:29:49.352Z] GET /api/leads/contact-leads
[2026-05-25T20:29:49.353Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:49.354Z] GET /api/leads/project-requests
[2026-05-25T20:29:49.375Z] GET /api/leads/project-requests
[2026-05-25T20:29:49.376Z] GET /api/leads/contact-leads
[2026-05-25T20:29:49.377Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:49.382Z] GET /api/leads/contact-leads
[2026-05-25T20:29:49.383Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:49.384Z] GET /api/leads/project-requests
[2026-05-25T20:29:52.347Z] GET /api/page-seo
[2026-05-25T20:30:04.562Z] POST /api/auth/login
[2026-05-25T20:30:05.124Z] GET /api/page-seo
[2026-05-25T20:30:05.129Z] GET /api/auth/me
[2026-05-25T20:30:05.138Z] GET /api/auth/me
[2026-05-25T20:30:05.163Z] GET /api/leads/project-requests
[2026-05-25T20:30:05.165Z] GET /api/leads/contact-leads
[2026-05-25T20:30:05.166Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:05.170Z] GET /api/leads/project-requests
[2026-05-25T20:30:05.171Z] GET /api/leads/contact-leads
[2026-05-25T20:30:05.173Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:09.496Z] GET /api/page-seo
[2026-05-25T20:30:09.497Z] GET /api/leads/project-requests
[2026-05-25T20:30:09.499Z] GET /api/leads/contact-leads
[2026-05-25T20:30:09.500Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:30:09.503Z] GET /api/auth/me
[2026-05-25T20:30:09.511Z] GET /api/leads/project-requests
[2026-05-25T20:30:09.512Z] GET /api/leads/contact-leads
